game_name,reviews_like_rate,all_reviews_number,release_date,developer,user_defined_tags,supported_os,supported_languages,price,other_features,age_restriction,rating,difficulty,length,estimated_downloads
Neverwinter,77,38559,"5 Dec, 2013",Cryptic Studios,"MMORPG, Adventure",win,"English, French, Italian, German, Russian",0.0,"Single-player, MMO, Online PvP, Online Co-op, Steam Trading Cards, In-App Purchases, Includes level editor",13,3.37,3,71,6170000
Internet Cafe Simulator 2,74,11571,"7 Jan, 2022",Cheesecake Dev,"Simulation, Management",win,"English, French, German, Spanish - Spain, Simplified Chinese, Japanese, Polish, Portuguese - Portugal, Russian, Turkish, Korean",10.49,"Single-player, Steam Achievements, Family Sharing",0,3.0,3,8,706600
Haste,91,5656,"1 Apr, 2025",Landfall,"Action, Roguelike, Driving","win, mac, linux","English, Simplified Chinese, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Swedish",8.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.67,3,10,291300
Cattle Country,91,36,"27 May, 2025","Castle Pixel, LLC.","Simulation, RPG, Sandbox","win, linux","English, French, German, Japanese",9.89,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.99,2,26,2900
Tabletop Simulator,96,42232,"5 Jun, 2015",Berserk Games,"Simulation, RPG, Sandbox","win, mac, linux",English,10.49,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Supported, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",0,3.95,3,58,9830000
Intruder,90,5055,"2 Mar, 2019",Superboss Games,"Stealth, Tactical, FPS","win, mac",English,10.49,"Online PvP, Steam Workshop, Stats, Includes level editor, Family Sharing",13,4.17,3,22,654900
Elin,93,5932,"1 Nov, 2024",Lafrontier,"Early Access, Open World, JRPG, Simulation",win,"English, Japanese, Simplified Chinese",19.99,"Single-player, Steam Workshop, Family Sharing",10,4.5,2,67,659000
Death Road to Canada,93,7967,"22 Jul, 2016",Rocketcat Games,"Pixel Graphics, Roguelike, Action, RPG","win, mac, linux",English,14.99,"Single-player, Shared/Split Screen PvP, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",13,3.77,4,32,1200000
Ryse: Son of Rome,87,34089,"10 Oct, 2014",Crytek,"Combat, Action, War, RPG",win,"English, French, Italian, German, Spanish - Spain, Russian",5.79,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Stats, Steam Leaderboards, Remote Play on TV, Family Sharing",17,3.25,3,10,5010000
Yet Another Zombie Survivors,90,10128,"13 Jul, 2023",Awesome Games Studio,"Early Access, Action, Roguelike, RPG",win,"English, Polish, Simplified Chinese",5.79,"Single-player, Steam Achievements, Steam Cloud, Steam Leaderboards, Remote Play on TV, Family Sharing",10,3.17,3,40,693000
Tobacco Shop Simulator,93,360,"9 Dec, 2024",Business Tycoon,Simulation,win,"English, French, Italian, German, Spanish - Spain, Czech, Dutch, Hungarian, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese",4.99,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.74,3,35,35200
X-Plane 12,83,4092,"17 Dec, 2022",Laminar Research,"Simulation, Realistic","win, mac, linux","English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Portugal, Russian, Simplified Chinese, Korean, Ukrainian",26.99,"Single-player, LAN Co-op, Tracked Controller Support, VR Supported, Family Sharing",10,3.0,3,12,159000
Just Shapes & Beats,97,20210,"31 May, 2018",Berzerk Studio,"2D, Platformer, Action","win, mac, linux","English, French, Japanese, Korean, German, Russian, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain, Spanish - Latin America, Polish, Portuguese - Portugal, Portuguese - Brazil",8.99,"Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",10,4.22,4,7,1020000
Gas Station Simulator,88,21629,"15 Sep, 2021",DRAGO entertainment,"Simulation, Management, Building","win, mac","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Turkish, Czech, Portuguese - Brazil, Ukrainian, Italian, Thai, Portuguese - Portugal, Vietnamese, Korean",5.73,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.08,3,32,1830000
Final Soccer VR,77,95,"18 Nov, 2016",Ivanovich Games,"Sports, Simulation, Action",win,"English, French, Italian, German, Spanish - Spain, Simplified Chinese, Korean, Japanese, Portuguese - Portugal, Portuguese - Brazil",19.99,"Single-player, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Tracked Controller Support, VR Only, Steam Trading Cards, Steam Leaderboards, Family Sharing",0,1.92,2,6,79900
Stranded Deep,75,41819,"11 Aug, 2022",Beam Team Games,"Open World, Survival, Crafting","win, mac, linux","English, French, Italian, German, Spanish - Spain, Russian",19.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Remote Play on TV, Remote Play Together, Family Sharing",13,3.28,4,19,2560000
Halo Infinite,69,176626,"15 Nov, 2021",343 Industries,"FPS, Action",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Danish, Finnish, Norwegian, Portuguese - Portugal",0.0,"Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, In-App Purchases, Steam Cloud, Includes level editor, Remote Play on TV",13,3.55,3,30,15640000
The Sims™ 3,86,29687,"2 Jun, 2009",The Sims Studio,"Simulation, Sandbox, Building",win,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Korean, Norwegian, Polish, Portuguese - Portugal, Russian, Spanish - Spain, Swedish, Traditional Chinese",19.99,"Single-player, Family Sharing",10,4.01,2,60,2990000
Persona 4 Golden,97,65272,"13 Jun, 2020",ATLUS,"JRPG, Story Rich, Anime",win,"English, Japanese, Korean, Traditional Chinese, French, Italian, German, Spanish - Spain, Simplified Chinese",19.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.33,3,80,3340000
DiRT Rally 2.0,89,35503,"26 Feb, 2019",Codemasters,"Driving, Simulation",win,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Japanese",19.99,"Single-player, Online PvP, Steam Achievements, VR Supported, Steam Cloud, Family Sharing",0,3.83,5,42,4030000
Deep Rock Galactic: Survivor,86,34999,"14 Feb, 2024",Funday Games,"Early Access, Action, Roguelike",win,"English, French, German, Spanish - Spain, Simplified Chinese, Italian, Korean, Portuguese - Brazil, Portuguese - Portugal, Traditional Chinese, Ukrainian, Hungarian, Russian, Japanese, Polish, Bulgarian, Turkish, Indonesian, Romanian, Spanish - Latin America",7.29,"Single-player, Steam Achievements, Steam Cloud, Remote Play on TV, Family Sharing",10,3.5,3,24,1950000
Into the Dead: Our Darkest Days,86,3981,"10 Apr, 2025",PikPok,"Early Access, Survival, Horror, 2.5D, Simulation, Stealth","win, mac","English, Simplified Chinese, French, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Italian, Traditional Chinese",12.99,"Single-player, Family Sharing",13,4.06,2,16,174200
Barony,92,7279,"23 Jun, 2015",Turning Wheel LLC,"Action, Roguelike, RPG","win, mac, linux",English,10.49,"Single-player, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Includes level editor, Remote Play Together, Family Sharing",13,3.26,4,26,1520000
Backpack Battles,90,13642,"8 Mar, 2024",PlayWithFurcifer,"Early Access, Automation, Management, Roguelike, Turn-Based",win,"English, German, Japanese, Korean, Simplified Chinese, Traditional Chinese, French, Portuguese - Brazil, Russian, Spanish - Latin America",7.99,"Online PvP, Steam Cloud, Family Sharing",0,4.0,3,16,1180000
Startup Company,81,5697,"10 Apr, 2020",Hovgaard Games,"Management, Simulation, Strategy","win, mac, linux","English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Russian, Turkish, Italian, Hungarian, Korean, Japanese, Dutch, Czech, Polish",7.29,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,3.08,3,23,538200
F.E.A.R. 2: Project Origin,83,4927,"12 Feb, 2009",Monolith,"Horror, FPS, Action",win,"English, French, Italian, German, Spanish - Spain, Czech, Hungarian, Polish, Russian",14.99,"Single-player, Family Sharing",17,3.53,3,12,4020000
Revenge of the Savage Planet,81,576,"8 May, 2025",Raccoon Logic Studios Inc.,"Adventure, Platformer",win,"English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese",18.04,"Single-player, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Family Sharing",13,3.77,4,30,54100
Survivor World,82,41,"1 Jul, 2024",Flugames,"Early Access, Survival, Platformer",win,"English, French, Italian, German, Czech, Polish, Russian, Turkish",3.59,"Online PvP, Online Co-op, Steam Cloud, Family Sharing",13,2.96,3,1,10500
Pillars of Eternity II: Deadfire,87,13789,"8 May, 2018",Obsidian Entertainment,"CRPG, Story Rich, Fantasy, Open World, Turn-Based","win, mac, linux","English, French, Italian, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil",18.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing",17,3.85,3,68,1410000
Skull and Bones,66,1558,"22 Aug, 2024",Ubisoft Singapore,"Action, RPG, Combat",win,"English, French, German, Spanish - Spain, Arabic, Japanese, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese, Italian, Polish",31.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Captions available, In-App Purchases, HDR available",17,2.0,3,11,67900
Small Spaces,100,31,"27 May, 2025",Niklas Tomkowitz,"Early Access, Simulation, Building",win,"English, French, Italian, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Spanish - Spain",7.29,"Single-player, Family Sharing",10,4.11,2,6,4000
Be My Horde,88,957,"18 Jun, 2024",Polished Games,"Action, Roguelike, Fantasy",win,"English, Polish, French, German, Portuguese - Brazil",2.99,"Single-player, Steam Cloud, Family Sharing",10,3.5,3,20,51600
Snowbreak: Containment Zone,77,7576,"25 Dec, 2023",Amazing Seasun Games,"Anime, Shooter, RPG",win,"English, French, German, Japanese, Simplified Chinese, Korean, Indonesian, Traditional Chinese, Spanish - Latin America",0.0,"Single-player, Online Co-op, Cross-Platform Multiplayer, In-App Purchases, Steam Timeline",13,2.83,3,53,999100
Two Point Museum,94,4416,"4 Mar, 2025",Two Point Studios,"Simulation, Strategy, Building","win, mac, linux","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Turkish, Polish",24.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,4.0,4,40,379900
ARK: Survival Evolved,84,547780,"27 Aug, 2017",Studio Wildcard,"Open World, Survival, Crafting","win, mac","English, French, Italian, German, Spanish - Spain, Russian, Portuguese - Brazil, Simplified Chinese, Czech, Danish, Dutch, Hungarian, Polish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Finnish, Japanese, Korean",14.99,"Single-player, MMO, Steam Achievements, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing",13,3.52,4,74,33130000
DCS World Steam Edition,85,37123,"18 Mar, 2018",Eagle Dynamics SA,"Simulation, Realistic, War",win,"English, German, Spanish - Spain, Russian, Czech, French, Simplified Chinese",0.0,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Tracked Controller Support, VR Supported, Captions available, Includes level editor",10,3.9,3,54,5450000
GROUND BRANCH,89,19320,"14 Aug, 2018",BlackFoot Studios,"Tactical, Realistic, FPS",win,English,14.99,"Single-player, Online PvP, Online Co-op, Family Sharing",10,3.0,4,40,1260000
Space Engineers 2,77,1866,"27 Jan, 2025",Keen Software House,"Simulation, Sandbox, Action, Strategy",win,English,14.99,"Single-player, Steam Cloud, Family Sharing",13,2.59,3,30,142600
The Mosquito Gang,75,81,"20 May, 2025",Space Raccoon Game Studio,"Simulation, Action","win, linux","English, French, German, Simplified Chinese, Russian, Spanish - Spain, Portuguese - Brazil, Japanese",5.79,"Online PvP, Online Co-op, Steam Achievements, Stats, Family Sharing",13,2.74,2,4,6100
Clanfolk,90,2894,"14 Jul, 2022",MinMax Games Ltd.,"Strategy, Simulation, Building",win,"English, French, German, Simplified Chinese, Traditional Chinese, Italian, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Thai, Hungarian",14.99,"Single-player, Steam Cloud, Family Sharing",10,3.17,4,55,276000
Sunkenland,81,18343,"26 Aug, 2023",Vector3 Studio,"Early Access, Open World, Survival, Crafting",win,"English, Simplified Chinese, French, German, Spanish - Spain, Japanese, Korean, Russian, Turkish",10.49,"Single-player, Online Co-op, Family Sharing",13,3.51,3,52,1180000
Battle Talent,75,872,"1 Jun, 2023",CyDream,"Combat, Action, Sandbox, Simulation",win,"English, Simplified Chinese, Spanish - Spain",10.49,"Single-player, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Tracked Controller Support, VR Supported, Family Sharing",13,2.89,4,18,54300
MX Bikes,94,26558,"7 Oct, 2019",PiBoSo,"Sports, Simulation",win,English,17.99,"Single-player, Online PvP, LAN PvP, Family Sharing",0,4.45,4,40,1030000
Getting Over It with Bennett Foddy,82,69768,"6 Dec, 2017",Bennett Foddy,"Platformer, Horror","win, mac, linux","English, Japanese, Russian, Korean, Simplified Chinese",7.99,"Single-player, Commentary available, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,3.27,5,15,4850000
BIGFOOT,83,16539,"31 Jan, 2017",CyberLight Game Studio,"Early Access, Horror, Survival, Action",win,"English, German, Russian, Ukrainian, French, Italian, Spanish - Spain, Arabic, Simplified Chinese, Korean, Polish, Portuguese - Portugal, Turkish, Japanese",5.99,"Single-player, Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing",0,3.55,4,11,1110000
Marvel's Guardians of the Galaxy,94,30315,"26 Oct, 2021",Eidos-Montréal,"Story Rich, Action, Adventure, Shooter",win,"English, French, Italian, German, Spanish - Spain, Arabic, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Traditional Chinese",29.99,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.83,3,22,2250000
Disney Dreamlight Valley,91,18529,"5 Dec, 2023",Gameloft,"Simulation, Cute, Sandbox",win,"English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese",29.0,"Single-player, In-App Purchases, Family Sharing",0,3.98,3,59,854900
ContractVille,82,3429,"27 May, 2025",MYM Games Studios,"Simulation, Building",win,"English, French, Italian, German, Spanish - Spain, Arabic, Simplified Chinese, Dutch, Traditional Chinese, Japanese, Korean, Portuguese - Portugal, Russian, Turkish, Swedish, Czech, Polish",14.99,"Single-player, Online Co-op, Steam Achievements, Captions available, Steam Cloud, Family Sharing",0,3.09,3,30,370000
Survive the Nights,70,3188,"21 Dec, 2017",a2z Interactive,"Sandbox, Adventure, FPS",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Turkish, Ukrainian, Czech, Thai",10.49,"Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Workshop, In-App Purchases, Steam Cloud, Stats, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,2.66,3,15,562000
F1® 24,74,13344,"31 May, 2024",Codemasters,"Driving, Sports, Simulation",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Simplified Chinese, Spanish - Latin America, Polish, Portuguese - Brazil",69.99,"Single-player, Online PvP, LAN PvP, Shared/Split Screen PvP, Online Co-op, LAN Co-op, Steam Achievements, VR Supported, Steam Workshop, In-App Purchases, Steam Cloud, HDR available, Family Sharing",0,3.5,4,24,760500
Pathologic 2,92,8513,"23 May, 2019",Ice-Pick Lodge,"Story Rich, Adventure, RPG, Survival, Horror",win,"English, Russian",17.99,"Single-player, Steam Achievements, Steam Trading Cards, Remote Play on TV, Family Sharing",17,4.21,5,38,1670000
Roboquest,95,16787,"7 Nov, 2023",RyseUp Studios,"FPS, Action, Roguelike",win,"English, French, Simplified Chinese, Korean, Spanish - Spain, Hungarian, Japanese, Italian, German, Bulgarian, Portuguese - Brazil, Russian, Traditional Chinese, Dutch, Persian, Ukrainian",10.99,"Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",10,3.81,4,11,1600000
Beholder: Conductor,89,1464,"23 Apr, 2025",Alawar,"Simulation, Strategy, Adventure","win, mac","English, French, German, Spanish - Spain, Portuguese - Brazil, Simplified Chinese, Korean, Russian, Japanese, Traditional Chinese, Polish, Turkish",7.79,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.5,3,8,67100
Hyperdimension Neptunia Re;Birth1,94,10014,"28 Jan, 2015","IDEA FACTORY Co., Ltd.","Anime, JRPG, Cute",win,"English, Japanese, Traditional Chinese",7.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",13,3.91,3,55,1850000
Outward Definitive Edition,73,22229,"17 May, 2022",Nine Dots Studio,"RPG, Open World, Survival, Souls-like",win,"English, French, German, Spanish - Spain, Italian, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Turkish",29.99,"Single-player, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Stats, Remote Play Together, Family Sharing",17,2.5,4,43,2660000
CHANGE: A Homeless Survival Experience,91,2348,"1 May, 2020",Delve Interactive,"Adventure, Management, 2D, RPG, Simulation, Roguelike","win, mac, linux","English, German, Russian, Simplified Chinese, Turkish, Spanish - Spain",10.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",13,3.5,3,2,188600
Soccer Manager 2025,74,1469,"23 Oct, 2024",Invincibles Studio Ltd,"Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Arabic, Dutch, Greek, Indonesian, Japanese, Korean, Polish, Portuguese - Brazil, Portuguese - Portugal, Russian, Thai, Turkish",0.0,"Single-player, In-App Purchases",0,2.82,3,28,319400
The Wolf Among Us,97,28798,"11 Oct, 2013",Telltale,"Adventure, Story Rich, Visual Novel",win,English,7.99,"Single-player, Steam Achievements, Remote Play on TV, Family Sharing",17,4.0,2,12,3690000
Big Ambitions,93,10223,"10 Mar, 2023",Hovgaard Games,"Early Access, Management, Simulation, RPG, Sandbox","win, mac","English, French, German, Spanish - Spain, Korean, Portuguese - Brazil, Russian, Simplified Chinese, Turkish, Italian, Traditional Chinese",11.5,"Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Family Sharing",10,3.68,4,32,619100
Easy Red 2,90,7887,"10 Nov, 2020",Marco Amadei,"War, Action, FPS, Simulation","win, mac, linux","English, Italian, French, German, Spanish - Spain, Simplified Chinese, Russian, Spanish - Latin America, Arabic, Portuguese - Portugal, Portuguese - Brazil, Polish, Turkish, Japanese, Ukrainian",8.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing",17,2.0,3,8,403800
Don't Starve,96,93351,"23 Apr, 2013",Klei Entertainment,"Open World, Survival, Crafting, 2D","win, mac, linux","English, Simplified Chinese",3.29,"Single-player, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",13,3.73,4,50,11210000
VOIN,94,630,"10 Dec, 2024",Nikita Sozidar,"Early Access, Action, Roguelike, RPG",win,"English, German, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Spain, French, Japanese, Korean, Polish, Ukrainian",9.99,"Single-player, Steam Cloud, Family Sharing",13,4.37,3,12,270000
Cuphead,96,166364,"29 Sep, 2017",Studio MDHR Entertainment Inc.,"Platformer, 2D","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America",19.99,"Single-player, Shared/Split Screen Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",10,4.16,4,21,8520000
ASTRONEER,92,110132,"16 Dec, 2016",System Era Softworks,"Open World, Survival, Crafting",win,"English, French, Italian, German, Spanish - Spain, Dutch, Japanese, Korean, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish",14.99,"Single-player, Online Co-op, Steam Achievements, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",0,3.42,3,33,5840000
CrossCode,92,14875,"21 Sep, 2018",Radical Fish Games,"Action, Pixel Graphics, RPG, Puzzle",win,"English, German, Simplified Chinese, Japanese, Korean",8.49,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",13,4.19,3,57,1210000
Neighbours from Hell Compilation,97,2123,"20 Feb, 2004",JoWooD Vienna,"Puzzle, 2D, Stealth, Adventure",win,"English, French, German, Spanish - Spain, Hungarian, Polish, Russian, Simplified Chinese, Italian",7.99,"Single-player, Steam Cloud, Family Sharing",13,3.45,2,11,1070000
The Walking Dead: Saints & Sinners,87,7209,"23 Jan, 2020",Skydance Interactive,"Action, Horror, FPS, Simulation, RPG",win,"English, French, German, Spanish - Spain, Japanese, Korean, Portuguese - Brazil",10.49,"Single-player, Steam Achievements, Tracked Controller Support, VR Only, Steam Cloud, Family Sharing",17,4.15,4,11,1140000
Tower of Babel: Survivors of Chaos,65,2204,"20 May, 2025",NANOO,"Early Access, Action, Roguelike, RPG","win, mac","English, Korean, French, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese, Italian, Russian, Thai, Portuguese - Brazil, Polish",5.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",17,2.56,4,22,108400
Squad,84,155777,"23 Sep, 2020",Offworld,"Realistic, FPS, Tactical",win,"English, Simplified Chinese, French, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian, Ukrainian",24.99,"Online PvP, Steam Trading Cards, Steam Workshop",17,3.38,4,70,8050000
Game of Thrones Winter is Coming,60,2592,"14 Nov, 2019",YOUZU (SINGAPORE) PTE. LTD.,"Strategy, RPG, Simulation, Open World, Building",win,"English, French, Italian, German, Turkish, Japanese, Polish, Thai, Simplified Chinese, Traditional Chinese, Portuguese - Brazil, Spanish - Latin America, Vietnamese, Korean",0.0,"MMO, Online PvP, Cross-Platform Multiplayer, In-App Purchases",17,2.77,3,80,702400
Frostpunk,92,102534,"24 Apr, 2018",11 bit studios,"Building, Survival, Management, Simulation, Strategy","win, mac","English, French, German, Spanish - Spain, Polish, Russian, Simplified Chinese, Portuguese - Brazil, Turkish, Italian, Japanese, Korean",14.99,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",17,3.89,4,24,7310000
House Party,86,13564,"16 Jul, 2022","Eek! Games, LLC","Sexual Content, Simulation, RPG, Sandbox",win,"English, Simplified Chinese, French, Russian, Spanish - Latin America, German, Turkish, Italian, Polish, Czech",24.99,"Single-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Cloud, Family Sharing",17,3.41,2,27,1160000
Cat & Farm Pals,94,139,"16 May, 2025",Teneke Kafalar Spotlight,"Simulation, Strategy, Puzzle, 2D",win,"English, Turkish, French, Italian, German, Spanish - Spain, Arabic, Bulgarian, Czech, Danish, Dutch, Finnish, Greek, Hungarian, Indonesian, Japanese, Korean, Norwegian, Polish, Portuguese - Brazil, Portuguese - Portugal, Romanian, Russian, Simplified Chinese, Spanish - Latin America, Swedish, Thai, Traditional Chinese, Ukrainian, Vietnamese",0.89,"Single-player, Family Sharing",0,2.6,1,11,10800
The Texas Chain Saw Massacre,69,17902,"18 Aug, 2023",Sumo Digital,"Horror, Survival, Stealth, Action",win,"English, French, Italian, German, Spanish - Spain, Japanese, Portuguese - Brazil, Russian",10.49,"Online PvP, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,3.13,4,30,645900
Life is Strange - Episode 1,96,169098,"30 Jan, 2015",DONTNOD Entertainment,"Story Rich, Simulation","win, mac, linux","English, French, Italian, German, Spanish - Spain, Portuguese - Brazil",0.0,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",17,4.2,1,7,15930000
Watch_Dogs™,78,42486,"26 May, 2014",Ubisoft,"Open World, Action, Shooter, Stealth",win,"English, French, Italian, German, Spanish - Spain, Czech, Danish, Dutch, Hungarian, Polish, Portuguese - Brazil, Swedish, Finnish, Norwegian, Portuguese - Portugal",15.99,"Single-player, Steam Achievements, Steam Trading Cards",17,3.63,3,36,4320000
Pacify,87,31894,"22 Feb, 2019",Shawn Hitchcock,"Horror, Survival","win, mac","English, French, Italian, German, Spanish - Spain, Japanese, Korean, Simplified Chinese, Traditional Chinese, Spanish - Latin America, Russian, Polish, Portuguese - Portugal, Portuguese - Brazil, Thai, Turkish, Arabic, Danish, Dutch, Finnish, Norwegian, Swedish, Ukrainian",2.99,"Single-player, Online PvP, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Cloud, Steam Leaderboards, Family Sharing",13,2.88,3,6,4250000
Zombie Cure Lab,70,328,"27 May, 2025",Thera Bytes GmbH,"Simulation, Survival, Building",win,"English, French, Italian, German, Spanish - Spain, Polish, Portuguese - Brazil, Russian, Simplified Chinese",12.49,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,2.51,2,11,70000
F.E.A.R.,93,11890,"17 Oct, 2005","Monolith Productions, Inc.","Horror, FPS, Action",win,English,9.99,"Single-player, Family Sharing",17,4.01,3,15,3980000
Sol Cesto,97,213,"27 May, 2025",Tambouille,"Early Access, Tactical, Puzzle, Roguelike, Turn-Based",win,"English, French, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Italian, Traditional Chinese, Hungarian, Portuguese - Portugal, Czech, Thai, Turkish, Ukrainian",6.59,"Single-player, Family Sharing",13,4.55,2,5,9100
Sticky Business,96,4858,"17 Jul, 2023",Spellgarden Games,"Simulation, Cute, 2D","win, mac","English, French, German, Japanese, Korean, Portuguese - Brazil, Simplified Chinese, Traditional Chinese, Spanish - Spain",5.79,"Single-player, Steam Achievements, Steam Cloud, Family Sharing",10,3.83,1,35,860500
Way of the Hunter,80,6547,"16 Aug, 2022",Nine Rocks Games,"Adventure, FPS, Simulation, Sports",win,"English, French, Italian, German, Spanish - Spain, Arabic, Traditional Chinese, Simplified Chinese, Polish, Russian, Czech, Turkish, Japanese, Hindi, Indonesian, Slovak",14.99,"Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",17,4.02,3,60,394500
